                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5577,                 1.2155,                0.95853,                0.35493,                0.27592,                0.25781,                0.14524,                  1.452,                 1.1228,                0.93003,               0.007756,               0.007756,               0.007756
                     37,                 1.5521,                 1.2105,                0.95639,                0.36613,                0.27433,                0.26438,                0.14968,                  1.445,                 1.1158,                0.92912,                0.00769,                0.00769,                0.00769
                     38,                 1.5418,                 1.2004,                0.95634,                0.36755,                0.27516,                0.26378,                0.15053,                 1.4423,                 1.1096,                0.92636,               0.007624,               0.007624,               0.007624
                     39,                 1.5429,                 1.1955,                0.95345,                0.36683,                0.28217,                0.26895,                0.15353,                  1.436,                 1.1112,                 0.9258,               0.007558,               0.007558,               0.007558
                     40,                 1.5337,                 1.1917,                0.95345,                0.38007,                0.28295,                0.26927,                0.15349,                 1.4336,                  1.104,                0.92719,               0.007492,               0.007492,               0.007492
                     41,                 1.5365,                 1.1865,                0.95192,                0.36826,                0.28353,                0.26916,                0.15309,                  1.439,                 1.1039,                0.92691,               0.007426,               0.007426,               0.007426
                     42,                 1.5302,                 1.1879,                0.95183,                0.36949,                0.28309,                0.26954,                0.15412,                 1.4262,                 1.1003,                0.92489,                0.00736,                0.00736,                0.00736
                     43,                 1.5235,                 1.1808,                 0.9495,                0.37409,                0.28694,                0.27289,                0.15624,                 1.4221,                 1.0924,                0.92236,               0.007294,               0.007294,               0.007294
                     44,                 1.5177,                  1.175,                0.94904,                  0.377,                0.28281,                0.26971,                0.15386,                 1.4216,                 1.0932,                0.92516,               0.007228,               0.007228,               0.007228
                     45,                 1.5159,                 1.1685,                0.94846,                0.37472,                0.28638,                0.27098,                0.15493,                  1.424,                 1.0916,                0.92284,               0.007162,               0.007162,               0.007162
                     46,                 1.5175,                 1.1701,                 0.9476,                0.37933,                0.28638,                 0.2748,                 0.1566,                  1.416,                 1.0818,                0.92108,               0.007096,               0.007096,               0.007096
                     47,                 1.5137,                 1.1628,                0.94597,                 0.3853,                 0.2893,                0.27719,                0.15847,                 1.4128,                 1.0849,                0.92036,                0.00703,                0.00703,                0.00703
                     48,                 1.5189,                  1.168,                 0.9478,                  0.377,                0.29497,                0.27836,                 0.1592,                 1.4062,                 1.0739,                0.91955,               0.006964,               0.006964,               0.006964
                     49,                  1.507,                 1.1581,                0.94482,                0.38043,                0.29415,                0.28237,                0.16135,                 1.4139,                  1.074,                0.92134,               0.006898,               0.006898,               0.006898
                     50,                 1.5054,                 1.1517,                0.94541,                0.39592,                0.29027,                0.28304,                0.16191,                 1.4038,                 1.0737,                0.91953,               0.006832,               0.006832,               0.006832
                     51,                 1.5027,                 1.1575,                0.94395,                0.38067,                0.29713,                0.28083,                0.16115,                 1.4052,                 1.0689,                0.91773,               0.006766,               0.006766,               0.006766
                     52,                 1.4871,                 1.1399,                0.94232,                0.38693,                0.29399,                0.28473,                0.16334,                 1.4058,                 1.0672,                0.91749,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.4968,                 1.1465,                0.94273,                0.38915,                0.29423,                0.28322,                0.16284,                 1.4005,                 1.0658,                0.91854,               0.006634,               0.006634,               0.006634
                     54,                 1.4974,                 1.1449,                0.94175,                0.38565,                0.29143,                0.28694,                0.16548,                 1.3963,                 1.0624,                0.91818,               0.006568,               0.006568,               0.006568
                     55,                  1.492,                 1.1391,                0.94194,                 0.3989,                0.29667,                 0.2896,                0.16745,                 1.3948,                   1.06,                0.91741,               0.006502,               0.006502,               0.006502
                     56,                 1.4907,                 1.1333,                0.94099,                0.39338,                0.29837,                0.29077,                0.16664,                 1.3965,                 1.0603,                0.91788,               0.006436,               0.006436,               0.006436
                     57,                 1.4888,                 1.1362,                0.93988,                0.40264,                0.29632,                0.28907,                0.16713,                  1.391,                   1.06,                0.91657,                0.00637,                0.00637,                0.00637
                     58,                  1.484,                 1.1266,                0.94108,                0.39143,                 0.3017,                0.28865,                0.16543,                 1.3925,                 1.0582,                0.91644,               0.006304,               0.006304,               0.006304
                     59,                 1.4782,                 1.1187,                 0.9378,                  0.405,                0.29922,                0.29014,                0.16604,                 1.3879,                 1.0551,                0.91561,               0.006238,               0.006238,               0.006238
                     60,                 1.4791,                 1.1224,                0.93652,                0.40673,                 0.3002,                 0.2944,                0.16927,                 1.3852,                 1.0487,                 0.9148,               0.006172,               0.006172,               0.006172
