                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2618,                 3.8586,                 2.6612,                0.01715,                0.04775,                0.01281,                0.00413,                  3.689,                 3.5145,                 1.6968,               0.070148,              0.0033169,              0.0033169
                      2,                 2.8172,                 2.5623,                 1.5704,                0.09159,                0.07388,                  0.055,                0.02216,                 2.5283,                 2.2079,                 1.3625,               0.040104,              0.0066064,              0.0066064
                      3,                 2.5018,                 2.2562,                 1.4083,                0.05867,                0.13074,                0.06217,                0.02639,                 2.4118,                 2.2831,                  1.317,               0.010016,              0.0098518,              0.0098518
                      4,                 2.2572,                 2.0106,                 1.3006,                0.16851,                0.12554,                0.08218,                 0.0405,                 2.0567,                  1.803,                  1.207,               0.009802,               0.009802,               0.009802
                      5,                 2.0996,                 1.8452,                 1.2272,                0.25541,                0.14212,                0.10527,                0.05174,                 1.8633,                 1.6063,                 1.1309,               0.009802,               0.009802,               0.009802
                      6,                 1.9938,                  1.728,                 1.1873,                 0.1568,                0.14984,                0.10242,                0.05292,                  1.847,                 1.5895,                 1.1107,               0.009736,               0.009736,               0.009736
                      7,                 1.9304,                 1.6574,                 1.1631,                 0.1683,                0.16828,                0.12092,                0.05989,                 1.7705,                 1.4913,                 1.0857,                0.00967,                0.00967,                0.00967
                      8,                 1.8676,                 1.5915,                 1.1405,                0.20595,                0.17371,                0.13103,                0.06826,                 1.7592,                 1.4445,                 1.0751,               0.009604,               0.009604,               0.009604
                      9,                 1.8337,                 1.5483,                 1.1246,                0.22087,                0.17402,                0.13987,                0.07334,                 1.7066,                 1.4095,                 1.0638,               0.009538,               0.009538,               0.009538
                     10,                 1.8011,                 1.5042,                 1.1159,                0.22068,                0.17675,                0.14386,                 0.0763,                  1.673,                 1.3671,                 1.0515,               0.009472,               0.009472,               0.009472
                     11,                 1.7822,                 1.4768,                 1.1031,                0.24178,                0.19029,                0.15316,                0.08295,                 1.6372,                 1.3257,                 1.0394,               0.009406,               0.009406,               0.009406
                     12,                 1.7566,                 1.4527,                 1.0967,                0.24752,                0.19873,                0.16207,                 0.0869,                 1.6182,                 1.2932,                 1.0364,                0.00934,                0.00934,                0.00934
                     13,                 1.7353,                 1.4314,                 1.0872,                0.23983,                0.20964,                0.16917,                0.09108,                 1.6218,                 1.3109,                 1.0363,               0.009274,               0.009274,               0.009274
                     14,                 1.7028,                 1.4027,                 1.0816,                0.26321,                0.20173,                0.17233,                0.09372,                 1.5989,                 1.3019,                 1.0321,               0.009208,               0.009208,               0.009208
                     15,                 1.6991,                  1.381,                 1.0742,                0.25468,                 0.2116,                0.17707,                 0.0978,                 1.5821,                 1.2953,                 1.0274,               0.009142,               0.009142,               0.009142
                     16,                 1.6866,                 1.3726,                 1.0723,                0.27262,                0.21326,                0.17718,                0.09658,                 1.5781,                 1.2702,                 1.0217,               0.009076,               0.009076,               0.009076
                     17,                 1.6723,                 1.3524,                  1.067,                0.29217,                0.21925,                0.19226,                0.10521,                 1.5677,                 1.2335,                 1.0223,                0.00901,                0.00901,                0.00901
                     18,                 1.6542,                 1.3383,                 1.0615,                0.26271,                0.21314,                0.18128,                0.09793,                 1.5455,                 1.2172,                 1.0139,               0.008944,               0.008944,               0.008944
                     19,                 1.6476,                 1.3257,                 1.0588,                0.36368,                0.22321,                0.18602,                0.10156,                  1.532,                 1.2278,                 1.0075,               0.008878,               0.008878,               0.008878
                     20,                 1.6331,                 1.3074,                 1.0551,                0.30418,                0.22166,                0.19668,                0.10869,                 1.5139,                 1.1909,                  1.006,               0.008812,               0.008812,               0.008812
                     21,                 1.6296,                 1.3061,                 1.0527,                0.29794,                0.22988,                0.20232,                0.10879,                 1.5163,                 1.1709,                  1.007,               0.008746,               0.008746,               0.008746
                     22,                 1.6149,                 1.2851,                 1.0495,                0.29847,                0.22747,                0.19943,                0.10753,                 1.5316,                 1.1847,                 1.0037,                0.00868,                0.00868,                0.00868
