                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4977,                  1.139,                 1.0147,                0.35833,                0.27313,                0.26094,                0.14512,                 1.4112,                   1.06,                0.97247,               0.007756,               0.007756,               0.007756
                     37,                 1.5125,                 1.1466,                 1.0138,                0.38456,                0.27797,                0.27344,                0.15223,                 1.4283,                 1.0592,                0.96849,                0.00769,                0.00769,                0.00769
                     38,                 1.5191,                 1.1502,                 1.0121,                0.36945,                0.28143,                0.27073,                0.15146,                 1.4336,                 1.0659,                0.96572,               0.007624,               0.007624,               0.007624
                     39,                 1.5261,                  1.156,                 1.0061,                0.38389,                 0.2838,                0.27832,                0.15647,                 1.4228,                 1.0697,                0.96148,               0.007558,               0.007558,               0.007558
                     40,                 1.5194,                 1.1553,                 1.0045,                0.38393,                0.28162,                0.27549,                0.15431,                 1.4247,                 1.0701,                0.96025,               0.007492,               0.007492,               0.007492
                     41,                 1.5222,                 1.1509,                0.99981,                0.37865,                0.28226,                0.27484,                0.15561,                 1.4259,                 1.0654,                0.95819,               0.007426,               0.007426,               0.007426
                     42,                 1.5154,                 1.1541,                      1,                0.38016,                0.28704,                0.28126,                0.15789,                 1.4116,                 1.0589,                0.95575,                0.00736,                0.00736,                0.00736
                     43,                 1.5092,                 1.1479,                0.99705,                0.39345,                0.28457,                0.28148,                0.15859,                 1.4102,                 1.0588,                0.95449,               0.007294,               0.007294,               0.007294
                     44,                 1.5017,                 1.1417,                0.99389,                0.38898,                0.28111,                 0.2799,                0.15713,                 1.4168,                 1.0594,                 0.9561,               0.007228,               0.007228,               0.007228
                     45,                    1.5,                 1.1376,                0.99357,                0.39318,                0.28343,                0.27987,                0.15694,                 1.4128,                 1.0551,                0.95371,               0.007162,               0.007162,               0.007162
                     46,                 1.5019,                 1.1371,                0.99244,                0.39204,                0.29618,                0.28846,                0.16279,                 1.4017,                 1.0454,                 0.9505,               0.007096,               0.007096,               0.007096
                     47,                 1.4965,                 1.1312,                0.98893,                 0.3976,                0.29281,                0.28855,                0.16233,                 1.3984,                 1.0461,                0.95055,                0.00703,                0.00703,                0.00703
                     48,                 1.5039,                 1.1357,                0.99224,                0.39056,                0.29166,                0.28802,                0.16141,                 1.3961,                 1.0456,                0.94943,               0.006964,               0.006964,               0.006964
                     49,                 1.4903,                 1.1273,                0.98791,                0.39967,                0.29159,                 0.2885,                0.16162,                 1.3986,                 1.0385,                0.94966,               0.006898,               0.006898,               0.006898
                     50,                 1.4899,                 1.1202,                0.99063,                0.39103,                0.30046,                0.29067,                0.16339,                 1.3888,                 1.0368,                0.94688,               0.006832,               0.006832,               0.006832
                     51,                 1.4855,                 1.1251,                0.98713,                0.39387,                0.29705,                0.29064,                0.16436,                 1.3869,                 1.0289,                0.94536,               0.006766,               0.006766,               0.006766
                     52,                 1.4695,                 1.1073,                0.98515,                0.40691,                0.29379,                0.29342,                0.16601,                 1.3861,                 1.0334,                0.94565,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.4793,                 1.1147,                0.98496,                0.39552,                0.30054,                0.29453,                0.16639,                 1.3814,                 1.0278,                0.94504,               0.006634,               0.006634,               0.006634
                     54,                 1.4783,                 1.1119,                0.98257,                0.38721,                0.29763,                0.29251,                0.16584,                 1.3791,                 1.0304,                0.94372,               0.006568,               0.006568,               0.006568
                     55,                 1.4768,                  1.111,                0.98417,                0.40633,                0.29752,                0.29339,                0.16622,                 1.3789,                 1.0275,                0.94423,               0.006502,               0.006502,               0.006502
                     56,                 1.4735,                 1.1037,                0.98253,                0.40234,                0.29951,                0.29499,                0.16677,                 1.3787,                 1.0268,                0.94462,               0.006436,               0.006436,               0.006436
                     57,                 1.4728,                 1.1047,                0.98165,                0.42312,                0.29348,                0.29739,                0.16831,                 1.3744,                 1.0244,                0.94419,                0.00637,                0.00637,                0.00637
                     58,                 1.4674,                 1.0966,                0.98276,                0.41788,                0.29634,                0.29726,                0.16818,                 1.3777,                 1.0224,                0.94307,               0.006304,               0.006304,               0.006304
                     59,                 1.4614,                 1.0894,                0.97872,                0.40128,                0.30355,                0.29785,                0.16885,                 1.3723,                 1.0203,                0.94068,               0.006238,               0.006238,               0.006238
                     60,                 1.4607,                 1.0924,                0.97639,                0.41505,                0.29886,                0.29956,                0.17035,                 1.3654,                 1.0155,                0.93982,               0.006172,               0.006172,               0.006172
                     61,                 1.4598,                 1.0878,                0.97859,                0.40047,                0.30598,                0.30106,                0.17119,                 1.3675,                 1.0113,                0.94021,               0.006106,               0.006106,               0.006106
                     62,                 1.4594,                 1.0899,                0.97782,                0.40653,                0.30122,                0.29859,                0.16927,                 1.3717,                 1.0159,                 0.9411,                0.00604,                0.00604,                0.00604
                     63,                  1.445,                 1.0726,                0.97562,                 0.4123,                0.30426,                0.30079,                0.17082,                 1.3674,                 1.0132,                0.93971,               0.005974,               0.005974,               0.005974
                     64,                  1.454,                 1.0844,                0.97645,                 0.4117,                0.30656,                0.30234,                0.17223,                 1.3625,                 1.0077,                0.93891,               0.005908,               0.005908,               0.005908
                     65,                  1.453,                 1.0817,                0.97822,                0.41438,                0.30711,                0.30343,                0.17122,                 1.3656,                 1.0078,                0.94001,               0.005842,               0.005842,               0.005842
                     66,                 1.4516,                 1.0809,                0.97673,                0.40756,                 0.3071,                0.30272,                0.17256,                  1.363,                 1.0054,                0.93845,               0.005776,               0.005776,               0.005776
                     67,                  1.451,                 1.0787,                0.97577,                0.40396,                0.30877,                0.30292,                 0.1729,                 1.3622,                 1.0057,                0.93813,                0.00571,                0.00571,                0.00571
                     68,                 1.4524,                 1.0766,                0.97164,                0.40867,                 0.3086,                0.30333,                0.17336,                 1.3599,                 1.0041,                0.93709,               0.005644,               0.005644,               0.005644
                     69,                 1.4437,                 1.0757,                0.97344,                 0.4168,                0.30524,                0.30413,                0.17332,                  1.359,                 1.0039,                0.93839,               0.005578,               0.005578,               0.005578
                     70,                 1.4495,                 1.0742,                0.97082,                0.40476,                0.31293,                0.30624,                 0.1746,                  1.355,                 1.0011,                0.93747,               0.005512,               0.005512,               0.005512
                     71,                 1.4339,                 1.0614,                0.96999,                0.40046,                0.31238,                0.30591,                0.17442,                 1.3556,                0.99907,                0.93711,               0.005446,               0.005446,               0.005446
                     72,                 1.4417,                 1.0677,                0.97163,                 0.4085,                0.31154,                0.30817,                0.17536,                 1.3504,                0.99534,                0.93668,                0.00538,                0.00538,                0.00538
                     73,                  1.435,                 1.0584,                0.97042,                0.40588,                0.31559,                0.30623,                0.17492,                 1.3522,                0.99584,                0.93574,               0.005314,               0.005314,               0.005314
                     74,                 1.4378,                  1.064,                0.97059,                0.40956,                0.31287,                0.30787,                0.17613,                 1.3527,                0.99302,                0.93617,               0.005248,               0.005248,               0.005248
                     75,                 1.4315,                 1.0554,                0.96986,                   0.41,                0.31477,                0.30781,                0.17521,                 1.3527,                0.99159,                0.93587,               0.005182,               0.005182,               0.005182
                     76,                 1.4331,                 1.0601,                0.97244,                0.41135,                0.31376,                0.30832,                 0.1761,                 1.3485,                 0.9913,                0.93472,               0.005116,               0.005116,               0.005116
                     77,                 1.4204,                 1.0475,                0.96603,                0.41442,                0.30873,                0.30569,                0.17474,                 1.3489,                0.99313,                0.93435,                0.00505,                0.00505,                0.00505
                     78,                 1.4228,                 1.0483,                0.96585,                0.42241,                0.30791,                0.30826,                0.17649,                  1.349,                0.99075,                0.93532,               0.004984,               0.004984,               0.004984
                     79,                 1.4278,                 1.0507,                0.97039,                0.41822,                0.31124,                0.30967,                 0.1779,                  1.348,                0.98803,                0.93458,               0.004918,               0.004918,               0.004918
                     80,                 1.4331,                 1.0526,                 0.9676,                 0.4123,                0.31681,                0.31066,                0.17771,                 1.3442,                0.98636,                0.93367,               0.004852,               0.004852,               0.004852
                     81,                 1.4277,                 1.0508,                0.96549,                0.41675,                0.31281,                  0.309,                0.17639,                 1.3451,                0.98737,                0.93412,               0.004786,               0.004786,               0.004786
                     82,                 1.4231,                 1.0425,                0.96582,                0.41123,                0.31692,                0.30994,                0.17723,                 1.3417,                0.98419,                0.93326,                0.00472,                0.00472,                0.00472
