                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4554,                 4.0255,                 2.8249,                0.43357,                  0.027,                0.01885,                0.00653,                 3.2758,                  3.052,                 1.7788,               0.070148,              0.0033169,              0.0033169
                      2,                 2.9078,                 2.6376,                 1.5767,                0.05227,                0.12221,                0.05433,                0.02291,                 2.5756,                 2.1648,                 1.3797,               0.040104,              0.0066064,              0.0066064
                      3,                 2.5195,                  2.265,                 1.3997,                0.18992,                0.10746,                0.06706,                0.02807,                  2.346,                 1.9355,                  1.301,               0.010016,              0.0098518,              0.0098518
                      4,                 2.2655,                 2.0025,                 1.2926,                 0.1564,                0.13264,                0.09292,                0.04515,                 2.0108,                 1.7102,                 1.1853,               0.009802,               0.009802,               0.009802
                      5,                 2.0986,                 1.8217,                 1.2216,                0.14435,                0.15699,                  0.112,                0.05252,                 1.9468,                 1.7127,                 1.1451,               0.009802,               0.009802,               0.009802
                      6,                 1.9959,                 1.7078,                 1.1839,                 0.2016,                0.16472,                0.13189,                 0.0671,                 1.8318,                 1.4772,                 1.1046,               0.009736,               0.009736,               0.009736
                      7,                 1.9289,                 1.6363,                 1.1597,                0.19548,                0.18147,                0.13817,                 0.0687,                 1.8013,                 1.4511,                 1.0909,                0.00967,                0.00967,                0.00967
                      8,                 1.8674,                 1.5689,                 1.1366,                0.23802,                0.18328,                0.15081,                0.07584,                 1.7601,                 1.3999,                 1.0769,               0.009604,               0.009604,               0.009604
                      9,                  1.836,                 1.5294,                  1.123,                0.22654,                0.18865,                0.15797,                 0.0807,                 1.7049,                 1.3959,                 1.0612,               0.009538,               0.009538,               0.009538
                     10,                    1.8,                 1.4865,                 1.1139,                0.24819,                0.19329,                0.16246,                0.08254,                 1.6974,                 1.3199,                  1.057,               0.009472,               0.009472,               0.009472
                     11,                 1.7831,                 1.4647,                 1.1018,                0.27233,                0.20227,                 0.1748,                0.09291,                 1.6607,                 1.3201,                 1.0427,               0.009406,               0.009406,               0.009406
                     12,                   1.76,                 1.4419,                 1.0963,                0.27667,                0.21107,                0.18742,                0.09789,                 1.6141,                  1.265,                 1.0393,                0.00934,                0.00934,                0.00934
                     13,                 1.7387,                 1.4185,                 1.0865,                0.27631,                0.21502,                0.18469,                0.09794,                 1.6153,                 1.2792,                 1.0361,               0.009274,               0.009274,               0.009274
                     14,                 1.7087,                 1.3887,                 1.0812,                 0.2721,                0.21983,                0.18726,                0.10128,                 1.5936,                 1.2575,                 1.0257,               0.009208,               0.009208,               0.009208
                     15,                 1.7003,                 1.3684,                  1.073,                0.27066,                0.22787,                0.19147,                0.10382,                 1.5985,                 1.2539,                 1.0321,               0.009142,               0.009142,               0.009142
                     16,                 1.6882,                 1.3587,                 1.0708,                 0.2866,                 0.2213,                 0.2004,                0.10727,                 1.5844,                 1.2196,                 1.0241,               0.009076,               0.009076,               0.009076
                     17,                 1.6715,                 1.3393,                 1.0648,                0.31292,                0.23715,                0.20738,                0.11157,                 1.5576,                 1.2081,                 1.0244,                0.00901,                0.00901,                0.00901
                     18,                  1.658,                 1.3268,                 1.0618,                0.30569,                0.23252,                0.21395,                0.11396,                 1.5513,                 1.1972,                  1.016,               0.008944,               0.008944,               0.008944
                     19,                 1.6535,                  1.319,                 1.0592,                0.30802,                0.23476,                0.21487,                0.11574,                 1.5298,                 1.2008,                 1.0102,               0.008878,               0.008878,               0.008878
                     20,                 1.6384,                 1.2985,                  1.055,                0.31039,                0.24008,                0.21683,                0.11715,                  1.541,                 1.1854,                  1.012,               0.008812,               0.008812,               0.008812
                     21,                 1.6329,                 1.2976,                 1.0525,                0.33144,                0.24143,                 0.2218,                0.11917,                 1.5228,                 1.1596,                 1.0069,               0.008746,               0.008746,               0.008746
                     22,                 1.6184,                 1.2778,                 1.0494,                 0.3175,                0.24353,                0.21891,                0.11964,                 1.5112,                 1.1646,                 1.0005,                0.00868,                0.00868,                0.00868
                     23,                 1.6207,                 1.2761,                 1.0448,                0.31159,                0.24695,                0.22334,                 0.1227,                 1.5212,                 1.1769,                  1.004,               0.008614,               0.008614,               0.008614
                     24,                 1.6098,                 1.2665,                 1.0429,                0.34054,                0.24548,                0.22757,                0.12522,                 1.5091,                 1.1613,                 1.0047,               0.008548,               0.008548,               0.008548
                     25,                 1.5927,                 1.2556,                 1.0418,                0.31613,                0.24949,                0.22764,                0.12585,                  1.499,                  1.151,                0.99773,               0.008482,               0.008482,               0.008482
                     26,                 1.5821,                 1.2447,                 1.0355,                0.32288,                0.24426,                0.23271,                 0.1262,                  1.496,                 1.1458,                0.99568,               0.008416,               0.008416,               0.008416
                     27,                 1.5954,                 1.2522,                 1.0377,                0.32734,                 0.2586,                0.23637,                0.12857,                 1.4952,                 1.1435,                0.99689,                0.00835,                0.00835,                0.00835
                     28,                 1.5984,                 1.2523,                 1.0329,                 0.3343,                0.25593,                0.23526,                0.13002,                 1.5166,                 1.1554,                0.99183,               0.008284,               0.008284,               0.008284
                     29,                 1.6054,                 1.2476,                 1.0277,                0.34433,                 0.2621,                0.24157,                 0.1311,                  1.518,                 1.1485,                0.98921,               0.008218,               0.008218,               0.008218
                     30,                 1.6058,                 1.2519,                 1.0278,                0.33921,                0.26221,                 0.2464,                0.13418,                  1.511,                 1.1526,                0.98782,               0.008152,               0.008152,               0.008152
                     31,                 1.5941,                 1.2457,                 1.0225,                0.35249,                0.26374,                0.24576,                 0.1322,                 1.5213,                 1.1681,                0.98597,               0.008086,               0.008086,               0.008086
                     32,                 1.5954,                 1.2488,                  1.023,                0.34333,                0.26472,                0.24537,                0.13532,                 1.5014,                 1.1516,                0.97906,                0.00802,                0.00802,                0.00802
                     33,                 1.5953,                 1.2432,                 1.0173,                0.34561,                0.27018,                0.24666,                0.13726,                 1.4989,                 1.1522,                0.97721,               0.007954,               0.007954,               0.007954
                     34,                 1.5922,                 1.2374,                 1.0147,                0.35796,                0.26419,                0.25049,                0.13751,                 1.4969,                 1.1452,                0.97607,               0.007888,               0.007888,               0.007888
                     35,                 1.5797,                 1.2314,                 1.0132,                0.36037,                0.26978,                 0.2531,                0.14074,                  1.485,                  1.136,                0.97365,               0.007822,               0.007822,               0.007822
                     36,                 1.5845,                 1.2285,                 1.0116,                0.35874,                0.26508,                0.25238,                0.13949,                 1.4943,                 1.1367,                0.97574,               0.007756,               0.007756,               0.007756
                     37,                 1.5808,                 1.2269,                 1.0096,                0.36385,                0.27366,                 0.2588,                0.14398,                 1.4794,                  1.123,                0.97109,                0.00769,                0.00769,                0.00769
                     38,                 1.5704,                 1.2176,                 1.0093,                0.36628,                0.26852,                0.25807,                0.14238,                 1.4803,                  1.122,                 0.9681,               0.007624,               0.007624,               0.007624
                     39,                 1.5718,                 1.2147,                  1.005,                0.36026,                0.26966,                0.25399,                0.14093,                 1.4781,                 1.1275,                0.96777,               0.007558,               0.007558,               0.007558
                     40,                 1.5595,                 1.2066,                 1.0038,                  0.367,                0.27674,                0.26367,                0.14651,                 1.4669,                 1.1098,                0.96733,               0.007492,               0.007492,               0.007492
                     41,                 1.5635,                 1.2038,                 1.0014,                0.35591,                 0.2737,                0.25804,                0.14386,                 1.4705,                 1.1141,                0.96549,               0.007426,               0.007426,               0.007426
                     42,                 1.5584,                 1.2065,                 1.0025,                0.36731,                0.27933,                0.26332,                0.14774,                 1.4595,                 1.1075,                0.96509,                0.00736,                0.00736,                0.00736
                     43,                 1.5531,                 1.1976,                0.99995,                0.36899,                0.27815,                0.26421,                0.14764,                 1.4609,                 1.1061,                0.96303,               0.007294,               0.007294,               0.007294
                     44,                 1.5434,                 1.1919,                0.99692,                0.37204,                0.27979,                0.26352,                0.14735,                 1.4587,                 1.1025,                0.96317,               0.007228,               0.007228,               0.007228
                     45,                  1.543,                 1.1856,                0.99715,                0.36407,                0.27862,                0.26539,                 0.1481,                 1.4542,                 1.0997,                0.96222,               0.007162,               0.007162,               0.007162
                     46,                 1.5451,                 1.1886,                0.99597,                0.36514,                 0.2845,                0.26681,                0.14864,                 1.4505,                 1.0932,                0.96051,               0.007096,               0.007096,               0.007096
                     47,                 1.5411,                 1.1821,                0.99398,                0.37533,                0.28517,                0.27212,                 0.1513,                 1.4419,                 1.0903,                0.95752,                0.00703,                0.00703,                0.00703
                     48,                  1.549,                 1.1859,                0.99725,                0.38221,                0.28569,                0.27387,                0.15251,                 1.4392,                 1.0834,                 0.9576,               0.006964,               0.006964,               0.006964
                     49,                 1.5327,                 1.1764,                0.99201,                0.38287,                0.28403,                0.27176,                0.15129,                 1.4448,                 1.0826,                0.95749,               0.006898,               0.006898,               0.006898
                     50,                 1.5333,                 1.1706,                0.99483,                0.37506,                0.28967,                0.27317,                0.15277,                 1.4347,                 1.0784,                0.95518,               0.006832,               0.006832,               0.006832
                     51,                 1.5303,                  1.177,                0.99185,                0.37731,                0.28833,                0.27521,                0.15285,                 1.4336,                 1.0742,                0.95696,               0.006766,               0.006766,               0.006766
                     52,                 1.5139,                 1.1571,                0.98989,                0.37372,                0.28674,                 0.2759,                0.15387,                 1.4341,                 1.0751,                0.95513,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.5255,                 1.1661,                0.98998,                0.39543,                  0.283,                0.27651,                0.15497,                 1.4308,                 1.0768,                0.95541,               0.006634,               0.006634,               0.006634
                     54,                 1.5231,                 1.1625,                0.98718,                0.38074,                 0.2864,                0.27652,                0.15526,                 1.4236,                 1.0713,                0.95209,               0.006568,               0.006568,               0.006568
                     55,                  1.521,                 1.1622,                0.98852,                 0.3868,                0.28672,                0.27744,                0.15446,                  1.425,                 1.0692,                0.95223,               0.006502,               0.006502,               0.006502
                     56,                 1.5161,                 1.1497,                0.98694,                0.38861,                0.29176,                 0.2803,                0.15673,                 1.4263,                 1.0673,                0.95407,               0.006436,               0.006436,               0.006436
                     57,                 1.5172,                 1.1557,                0.98592,                0.39271,                0.29319,                0.28188,                 0.1579,                 1.4204,                 1.0661,                0.95096,                0.00637,                0.00637,                0.00637
                     58,                 1.5112,                 1.1453,                0.98722,                0.39316,                 0.2886,                0.28185,                0.15724,                 1.4222,                 1.0627,                0.95202,               0.006304,               0.006304,               0.006304
                     59,                 1.5071,                 1.1404,                0.98359,                0.39158,                0.29114,                0.28035,                0.15762,                 1.4175,                 1.0634,                 0.9501,               0.006238,               0.006238,               0.006238
                     60,                 1.5071,                 1.1432,                0.98097,                0.40048,                0.28732,                0.28098,                 0.1585,                 1.4133,                 1.0587,                0.94873,               0.006172,               0.006172,               0.006172
                     61,                 1.5033,                 1.1361,                0.98274,                 0.3824,                0.29434,                0.28281,                0.15987,                 1.4163,                 1.0598,                0.94934,               0.006106,               0.006106,               0.006106
                     62,                 1.5027,                 1.1407,                0.98235,                 0.3937,                0.29011,                0.28491,                0.16084,                 1.4174,                 1.0579,                0.94959,                0.00604,                0.00604,                0.00604
                     63,                 1.4905,                 1.1235,                0.98006,                0.39345,                0.29094,                0.28281,                0.15934,                 1.4132,                 1.0567,                0.94846,               0.005974,               0.005974,               0.005974
                     64,                  1.499,                 1.1352,                 0.9816,                0.38353,                0.29668,                0.28382,                 0.1604,                 1.4097,                 1.0532,                 0.9489,               0.005908,               0.005908,               0.005908
                     65,                 1.4977,                   1.13,                 0.9823,                0.39592,                0.29781,                0.28592,                0.16121,                 1.4076,                 1.0513,                0.94698,               0.005842,               0.005842,               0.005842
                     66,                  1.496,                 1.1296,                0.98101,                0.39108,                0.29553,                0.28625,                0.16229,                  1.404,                 1.0483,                0.94596,               0.005776,               0.005776,               0.005776
                     67,                  1.494,                 1.1294,                0.98027,                 0.3931,                0.29354,                0.28477,                0.16093,                 1.4051,                  1.048,                0.94583,                0.00571,                0.00571,                0.00571
                     68,                 1.4974,                 1.1252,                0.97589,                 0.3924,                0.29823,                0.28861,                  0.162,                 1.4023,                 1.0463,                0.94525,               0.005644,               0.005644,               0.005644
                     69,                 1.4887,                 1.1241,                0.97743,                0.38928,                0.30366,                0.28793,                0.16208,                 1.4026,                 1.0458,                0.94596,               0.005578,               0.005578,               0.005578
                     70,                 1.4937,                 1.1235,                0.97442,                0.38927,                 0.2967,                0.28685,                0.16124,                 1.3994,                 1.0451,                0.94464,               0.005512,               0.005512,               0.005512
                     71,                 1.4785,                 1.1108,                0.97424,                0.39156,                 0.2974,                0.28949,                0.16331,                 1.3958,                 1.0414,                0.94318,               0.005446,               0.005446,               0.005446
                     72,                 1.4848,                 1.1162,                0.97536,                 0.3905,                0.29921,                0.28943,                0.16312,                 1.3944,                 1.0398,                0.94324,                0.00538,                0.00538,                0.00538
                     73,                 1.4807,                 1.1108,                0.97422,                0.39146,                0.30357,                0.29036,                0.16297,                 1.3978,                 1.0391,                0.94356,               0.005314,               0.005314,               0.005314
                     74,                 1.4813,                 1.1127,                0.97457,                0.40089,                0.29741,                0.29136,                0.16457,                  1.393,                 1.0367,                 0.9428,               0.005248,               0.005248,               0.005248
                     75,                 1.4755,                 1.1076,                0.97359,                0.39666,                 0.3041,                0.29306,                0.16494,                 1.3917,                  1.034,                0.94229,               0.005182,               0.005182,               0.005182
                     76,                 1.4791,                 1.1101,                0.97579,                0.39799,                0.30653,                0.29439,                0.16619,                 1.3939,                 1.0352,                0.94298,               0.005116,               0.005116,               0.005116
                     77,                 1.4637,                 1.0974,                0.96939,                0.39567,                0.30335,                0.29278,                0.16511,                 1.3944,                 1.0337,                0.94233,                0.00505,                0.00505,                0.00505
                     78,                 1.4683,                 1.0971,                0.96991,                0.39422,                0.30358,                 0.2944,                0.16622,                 1.3913,                 1.0304,                 0.9422,               0.004984,               0.004984,               0.004984
                     79,                 1.4694,                 1.0982,                0.97355,                0.40036,                0.30479,                0.29584,                 0.1665,                 1.3905,                  1.028,                0.94096,               0.004918,               0.004918,               0.004918
                     80,                 1.4767,                 1.1037,                0.97146,                0.40256,                0.30397,                0.29483,                0.16558,                 1.3854,                 1.0277,                0.94039,               0.004852,               0.004852,               0.004852
                     81,                 1.4703,                 1.0977,                0.96871,                0.40513,                0.30382,                0.29335,                 0.1654,                  1.388,                 1.0295,                 0.9408,               0.004786,               0.004786,               0.004786
                     82,                 1.4672,                 1.0919,                 0.9689,                0.40673,                0.30617,                0.29587,                 0.1665,                  1.386,                 1.0273,                0.93973,                0.00472,                0.00472,                0.00472
                     83,                  1.465,                 1.0932,                0.96917,                0.41806,                0.30321,                0.29914,                0.16785,                 1.3861,                 1.0252,                0.94042,               0.004654,               0.004654,               0.004654
                     84,                 1.4664,                 1.0956,                0.96954,                0.40348,                0.30611,                0.29797,                0.16813,                 1.3832,                 1.0238,                0.93934,               0.004588,               0.004588,               0.004588
